data	data	19064	13112	40046	39544	7554	9430	37180	25354	4862	3506	7412	10572	17314	8332	9864	8104	10606	7350	47564	36904	900	792	38250	23016	5262	7746	3884	5266	18440	10994	13598	16184	6740	14546	2590	3348	8268	10292	3474	3762	1342	2902	16008	15616	15516	15512	12702	16478	15888	17520	31726	20376	6886	6852	22888	20260	12428	10396	9858	9650	16856	5368	6560	5180	11072	11290	17238	16904	8918	8782	8528	12828	12268	11656	1764	746	3164	3200	3124	4372	21984	12766	10586	6336	29604	20240	1616	1718	27668	15768	29094	29796	15382	16616	446	2094	8698	10468	22908	22184	4734	2972	10434	7904	2022	2144	420	406	214	300	5792	4516	2954	3006	584	386	
data	data	aal116_mni_2001	aal116_mni_2002	aal116_mni_2101	aal116_mni_2102	aal116_mni_2111	aal116_mni_2112	aal116_mni_2201	aal116_mni_2202	aal116_mni_2211	aal116_mni_2212	aal116_mni_2301	aal116_mni_2302	aal116_mni_2311	aal116_mni_2312	aal116_mni_2321	aal116_mni_2322	aal116_mni_2331	aal116_mni_2332	aal116_mni_2401	aal116_mni_2402	aal116_mni_2501	aal116_mni_2502	aal116_mni_2601	aal116_mni_2602	aal116_mni_2611	aal116_mni_2612	aal116_mni_2701	aal116_mni_2702	aal116_mni_3001	aal116_mni_3002	aal116_mni_4001	aal116_mni_4002	aal116_mni_4011	aal116_mni_4012	aal116_mni_4021	aal116_mni_4022	aal116_mni_4101	aal116_mni_4102	aal116_mni_4111	aal116_mni_4112	aal116_mni_4201	aal116_mni_4202	aal116_mni_5001	aal116_mni_5002	aal116_mni_5011	aal116_mni_5012	aal116_mni_5021	aal116_mni_5022	aal116_mni_5101	aal116_mni_5102	aal116_mni_5201	aal116_mni_5202	aal116_mni_5301	aal116_mni_5302	aal116_mni_5401	aal116_mni_5402	aal116_mni_6001	aal116_mni_6002	aal116_mni_6101	aal116_mni_6102	aal116_mni_6201	aal116_mni_6202	aal116_mni_6211	aal116_mni_6212	aal116_mni_6221	aal116_mni_6222	aal116_mni_6301	aal116_mni_6302	aal116_mni_6401	aal116_mni_6402	aal116_mni_7001	aal116_mni_7002	aal116_mni_7011	aal116_mni_7012	aal116_mni_7021	aal116_mni_7022	aal116_mni_7101	aal116_mni_7102	aal116_mni_8101	aal116_mni_8102	aal116_mni_8111	aal116_mni_8112	aal116_mni_8121	aal116_mni_8122	aal116_mni_8201	aal116_mni_8202	aal116_mni_8211	aal116_mni_8212	aal116_mni_8301	aal116_mni_8302	aal116_mni_9001	aal116_mni_9002	aal116_mni_9011	aal116_mni_9012	aal116_mni_9021	aal116_mni_9022	aal116_mni_9031	aal116_mni_9032	aal116_mni_9041	aal116_mni_9042	aal116_mni_9051	aal116_mni_9052	aal116_mni_9061	aal116_mni_9062	aal116_mni_9071	aal116_mni_9072	aal116_mni_9081	aal116_mni_9082	aal116_mni_9100	aal116_mni_9110	aal116_mni_9120	aal116_mni_9130	aal116_mni_9140	aal116_mni_9150	aal116_mni_9160	aal116_mni_9170	
47564	aal116_mni_2401	1193	16	1689	981	0	0	4066	335	0	0	683	48	161	98	195	19	2339	0	0	3230	0	0	334	716	0	0	0	0	907	0	614	554	536	1153	0	0	284	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	228	124	1817	0	144	16	171	0	32	0	0	0	125	0	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36904	aal116_mni_2402	151	101	209	3307	0	0	258	1239	0	0	0	774	0	768	0	65	0	1404	3230	0	0	0	19	375	0	0	0	0	0	287	98	1560	264	1186	8	154	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	9	152	812	0	1652	0	177	0	8	0	17	0	0	0	18	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
900	aal116_mni_2501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	12	0	0	0	10	0	0	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	19	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
792	aal116_mni_2502	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	15	0	0	0	0	12	0	0	0	0	41	10	84	0	43	33	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
38250	aal116_mni_2601	0	0	7777	1536	160	103	1165	0	0	0	0	0	73	0	0	0	0	0	334	19	0	0	0	4108	484	206	189	0	70	0	944	667	118	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23016	aal116_mni_2602	0	0	535	2881	0	153	0	18	0	0	0	0	0	48	0	0	0	0	716	375	0	0	4108	0	194	597	0	11	0	0	607	872	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	29	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5262	aal116_mni_2611	0	0	56	0	655	24	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	484	194	0	758	82	61	0	0	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7746	aal116_mni_2612	0	0	0	12	0	399	0	0	0	19	0	0	0	0	0	0	0	0	0	0	10	41	206	597	758	0	37	970	0	0	105	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	456	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3884	aal116_mni_2701	0	0	34	0	1034	0	0	0	167	0	0	0	0	0	40	0	0	0	0	0	0	10	189	0	82	37	0	33	14	0	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	31	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5266	aal116_mni_2702	0	0	0	0	0	1084	0	0	0	21	0	0	0	0	0	20	0	0	0	0	0	84	0	11	61	970	33	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	126	9	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18440	aal116_mni_3001	1375	0	271	0	53	0	386	0	17	0	319	0	1060	0	536	0	583	0	907	0	225	0	70	0	0	0	14	0	0	0	49	0	0	0	0	0	646	0	25	0	20	0	0	0	0	0	0	0	0	0	33	0	0	0	196	0	235	0	0	0	14	0	85	0	0	0	0	0	0	0	24	0	1516	0	0	0	0	0	41	0	209	0	266	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10994	aal116_mni_3002	0	68	0	106	0	0	0	85	0	0	0	191	0	253	0	545	0	261	0	287	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	581	0	36	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	1187	0	0	0	0	0	9	0	468	0	228	0	282	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13598	aal116_mni_4001	0	0	98	202	97	23	146	0	0	0	15	0	109	0	0	0	0	0	614	98	0	33	944	607	280	105	166	0	49	0	0	1578	215	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	56	1041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16184	aal116_mni_4002	0	0	38	514	0	108	0	8	0	0	0	0	0	18	0	0	0	0	554	1560	0	89	667	872	0	114	0	168	0	0	1578	0	90	778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	477	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6740	aal116_mni_4011	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	264	0	0	118	0	0	0	0	0	0	0	215	90	0	886	55	30	0	0	0	0	0	0	0	0	44	0	0	0	53	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	180	424	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14546	aal116_mni_4012	0	0	149	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153	1186	0	0	601	238	0	0	0	0	0	0	142	778	886	0	0	182	0	0	0	0	0	0	0	128	0	77	0	0	0	68	0	178	0	0	0	0	0	0	0	11	0	0	0	0	0	8	15	753	60	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2590	aal116_mni_4021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	16	298	0	66	0	0	0	38	0	98	0	0	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	174	46	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3348	aal116_mni_4022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	30	182	16	0	0	233	0	0	0	0	0	39	0	18	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	639	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8268	aal116_mni_4101	84	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0	298	0	0	58	446	0	98	0	204	0	0	0	124	0	0	0	0	0	0	0	588	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	479	0	30	0	23	0	71	0	315	0	66	0	30	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10292	aal116_mni_4102	96	46	0	43	0	0	0	29	0	0	0	62	0	42	0	0	0	44	51	130	0	0	0	0	0	0	0	0	0	581	0	0	0	0	0	233	58	0	0	290	0	277	0	0	0	0	0	161	0	0	0	0	0	0	0	878	0	10	0	0	0	10	0	61	0	0	0	232	113	46	0	0	0	614	0	169	442	211	0	9	0	40	0	0	0	8	0	0	0	137	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
